epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/mse_caco2,val/mse_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
31,10749,0.7187133431434631,,,,,,,,,,,
31,10799,0.716398298740387,,,,,,,,,,,
31,10849,0.7239498496055603,,,,,,,,,,,
31,10899,0.6304548382759094,,,,,,,,,,,
31,10949,0.7287920117378235,,,,,,,,,,,
31,10999,0.716677725315094,,,,,,,,,,,
31,11039,,0.881176233291626,0.9292462468147278,0.8442103266716003,0.6018320322036743,0.45085299015045166,0.9109417200088501,0.29744771122932434,1.3954709768295288,0.9154765605926514,0.5453876852989197,1.1813005208969116
32,11049,0.671234667301178,,,,,,,,,,,
32,11099,0.642684817314148,,,,,,,,,,,
32,11149,0.6728371977806091,,,,,,,,,,,
32,11199,0.6985981464385986,,,,,,,,,,,
32,11249,0.7238315939903259,,,,,,,,,,,
32,11299,0.6810318827629089,,,,,,,,,,,
32,11349,0.7165595293045044,,,,,,,,,,,
32,11384,,0.8752238154411316,0.9245724678039551,0.8412821888923645,0.6041831970214844,0.4408589005470276,0.8945401310920715,0.2822684347629547,1.3787108659744263,0.8985210657119751,0.5312893986701965,1.1741851568222046
33,11399,0.6693524122238159,,,,,,,,,,,
33,11449,0.7033185362815857,,,,,,,,,,,
33,11499,0.7242918610572815,,,,,,,,,,,
33,11549,0.6389254331588745,,,,,,,,,,,
33,11599,0.6315312385559082,,,,,,,,,,,
33,11649,0.6451122164726257,,,,,,,,,,,
33,11699,0.6329706907272339,,,,,,,,,,,
33,11729,,0.8786251544952393,0.9210748672485352,0.8446909189224243,0.602682888507843,0.4322464168071747,0.9039059281349182,0.28221625089645386,1.3559104204177856,0.8819758296012878,0.5312402844429016,1.164435625076294
34,11749,0.6488050222396851,,,,,,,,,,,
34,11799,0.6703161001205444,,,,,,,,,,,
34,11849,0.691257894039154,,,,,,,,,,,
34,11899,0.7278240919113159,,,,,,,,,,,
34,11949,0.6761578917503357,,,,,,,,,,,
34,11999,0.7014513611793518,,,,,,,,,,,
34,12049,0.6792932152748108,,,,,,,,,,,
34,12074,,0.8748656511306763,0.9227068424224854,0.8348269462585449,0.6074856519699097,0.4747634530067444,0.8879489302635193,0.35617294907569885,1.4004442691802979,0.9373075366020203,0.596802294254303,1.1834036111831665
35,12099,0.7428040504455566,,,,,,,,,,,
35,12149,0.6920884251594543,,,,,,,,,,,
35,12199,0.695749819278717,,,,,,,,,,,
